trial_id,algorithm,n,mode,time_ms,calls,comparisons,swaps,mean_time_ms,median_time_ms
26,ExpoSort,16,random,8.0074,65535,32767,76,8.224579207920792,8.0557
27,ExpoSort,16,random,8.0526,65535,32767,63,8.224579207920792,8.0557
28,ExpoSort,16,random,8.0262,65535,32767,65,8.224579207920792,8.0557
29,ExpoSort,16,random,8.0326,65535,32767,62,8.224579207920792,8.0557
30,ExpoSort,16,random,7.9562,65535,32767,40,8.224579207920792,8.0557
31,ExpoSort,16,random,8.0774,65535,32767,61,8.224579207920792,8.0557
32,ExpoSort,16,random,7.9756,65535,32767,51,8.224579207920792,8.0557
33,ExpoSort,16,random,8.073,65535,32767,72,8.224579207920792,8.0557
34,ExpoSort,16,random,8.0134,65535,32767,51,8.224579207920792,8.0557
35,ExpoSort,16,random,8.0651,65535,32767,60,8.224579207920792,8.0557
36,ExpoSort,16,random,7.9464,65535,32767,68,8.224579207920792,8.0557
37,ExpoSort,16,random,8.0842,65535,32767,38,8.224579207920792,8.0557
38,ExpoSort,16,random,7.9597,65535,32767,48,8.224579207920792,8.0557
39,ExpoSort,16,random,8.0185,65535,32767,62,8.224579207920792,8.0557
40,ExpoSort,16,random,7.998,65535,32767,66,8.224579207920792,8.0557
41,ExpoSort,16,random,8.0297,65535,32767,67,8.224579207920792,8.0557
42,ExpoSort,16,random,8.0099,65535,32767,58,8.224579207920792,8.0557
43,ExpoSort,16,random,8.0267,65535,32767,62,8.224579207920792,8.0557
44,ExpoSort,16,random,8.0032,65535,32767,65,8.224579207920792,8.0557
45,ExpoSort,16,random,8.0617,65535,32767,60,8.224579207920792,8.0557
46,ExpoSort,16,random,7.9916,65535,32767,42,8.224579207920792,8.0557
47,ExpoSort,16,random,7.9863,65535,32767,65,8.224579207920792,8.0557
48,ExpoSort,16,random,7.9786,65535,32767,70,8.224579207920792,8.0557
49,ExpoSort,16,random,8.0557,65535,32767,81,8.224579207920792,8.0557
50,ExpoSort,16,random,8.1252,65535,32767,52,8.224579207920792,8.0557
